Class,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,-0.024861305,0.046858903,1.093183603,1.917512879,-0.069497127,0.377467348
1,-0.042386143,0.074974013,0.834486066,1.610749833,0.007489868,0.239611399
1,0.056894686,0.022729762,1.167636742,2.003132054,0.06519044,0.249467739
1,0.07179961,-0.032432578,1.02516125,2.472309787,0.243244449,0.063362857
1,-0.068745868,0.223352627,0.927842414,-0.136505519,1.966219051,0.309914839
1,0.117783876,-0.078387408,0.872553851,0.045696104,1.321750284,0.230472664
1,0.049867949,0.156290267,1.00628879,2.202533657,-0.626782334,0.169955474
1,0.173195783,-0.045866162,1.020313691,1.592831886,-1.272989117,1.083632969
1,0.013102836,-0.016865008,0.968524637,2.659524698,-0.684980201,1.277611376
1,-0.086255775,0.069538419,0.85822307,2.883472355,-1.38979054,0.95821882
1,0.094483507,0.013777441,1.063308892,2.19372987,1.150730136,-0.175170822
1,0.100503719,0.039254498,1.123782072,1.651299364,0.978613315,0.085026654
1,-0.14796345,0.187265664,1.126607009,1.89516919,0.739841322,0.142315871
1,-0.035996611,-0.011757747,0.905457242,1.723062121,-0.020538443,0.460899047
1,-0.015282723,-0.149250235,0.986447559,1.76031002,0.666290722,0.253145082
1,-0.032914483,0.163025224,0.839673801,1.21839483,0.519732493,-0.026619157
1,-0.018171258,0.140838433,1.090062659,1.606319918,-0.03708065,0.329022699
1,-0.09777511,0.031570167,0.929072395,1.78687437,0.406789721,0.276649738
1,-0.172718184,-0.041523572,0.824597343,2.055453611,-0.056794275,0.232594277
1,-0.275269162,0.082219299,0.881494407,1.97629418,0.439951083,0.293921185
1,-0.107630177,0.075223523,1.125261851,2.218927639,0.613158671,0.067090797
1,-0.019742029,0.154697679,0.888726429,2.03674173,0.691836091,0.423425421
1,0.081884259,0.046338808,0.885660087,2.089192608,0.843378811,0.374972391
1,-0.018390193,0.019447304,0.896602287,1.388263882,0.356856307,0.326991334
1,-0.0951928,0.028065403,1.024335215,1.376878078,0.765290442,0.208252903
1,0.070342592,-0.07080141,0.875107493,1.688244658,0.242293556,0.265583407
1,0.097254688,-0.003563113,0.92795292,1.884473701,0.392343036,-0.332760562
1,0.017257628,0.165025208,0.777738751,1.805057569,0.374996438,0.337826342
1,0.138924472,-0.219492449,0.849939604,1.61687823,0.3674089,0.261692162
1,0.162911022,0.098877869,0.790311027,1.784903193,0.976726018,0.108678547
1,0.04751567,0.114424333,1.246963699,1.703152395,-0.130869863,0.433704577
1,-0.02144524,0.051622221,1.015006604,2.147827358,0.296516282,0.457094877
1,0.075312527,-0.024159441,0.980784207,2.221723446,0.119180826,0.536561074
1,-0.116472537,-0.009433523,0.959794316,2.084488378,0.099493702,0.677445944
1,-0.096316109,-0.001112536,0.947638764,1.355600128,0.825706989,0.499253075
1,0.187849625,-0.065914258,1.031571012,1.171055545,1.254939949,0.557105846
1,-0.119318809,-0.118355186,0.892360122,1.382494174,1.496582541,0.841895887
1,0.01151361,0.122100818,0.982023337,2.291982146,-0.011391062,1.186942122
1,-0.176690861,0.066931499,0.917116792,3.486707533,0.880565375,0.677304141
1,-0.049103002,0.165787482,1.018004542,2.757591091,0.413551993,0.258103711
1,0.082437414,-0.140035039,0.90924853,2.915145875,15.36254024,0.303294867
1,-0.044593705,0.005244105,0.836486705,3.918765922,1.744462704,0.469209433
1,0.083948929,0.086139572,0.884482287,1.404084015,1.37248477,0.675627204
1,-0.020846112,-0.01990879,1.178811153,2.378815126,2.423820019,1.335715719
